Year,Persons,Males,Females
1982,30,32,28
1983,31,33,30
1984,33,36,31
1985,36,39,34
1986,37,41,34
1987,42,47,38
1988,45,52,40
1989,42,51,36
1990,43,51,37
1991,43,50,37
1992,47,56,39
1993,48,58,40
1994,47,58,40
1995,50,62,41
1996,52,64,43
1997,54,66,45
1998,51,63,42
1999,52,65,42
2000,53,66,44
2001,54,67,44
2002,58,72,47
2003,56,71,44
2004,56,70,46
2005,61,76,49
2006,58,74,45
2007,56,71,44
2008,59,75,46
2009,58,74,46
2010,58,75,45
2011,58,72,45
2012,59,74,46
2013,61,77,48
2014,61,77,48
2015,62,78,49
2016,64,80,51
2017,65,81,50
2018,64,79,51
2019,65,80,51
2020,59,73,47
,,,
,,,
